Time(ms),Main(mA),Main Voltage(V),
44.47265887260437,324.69452173516396,4.1845,
44.47284483909607,312.91511198284906,4.1857500000000005,
44.47304677963257,300.6448934908544,4.183,
44.473227977752686,296.22761483373625,4.1842500000000005,
44.47343063354492,293.7735711353373,4.18275,
44.47363996505737,289.1108881083793,4.18125,
44.47382974624634,297.45463668293576,4.1855,
44.47403383255005,309.3567486201706,4.18,
44.47423982620239,305.79838525749216,4.18375,
44.47445774078369,298.1908497924554,4.183,
44.47463870048523,302.3627240797336,4.182,
44.474846839904785,305.3075765178123,4.1842500000000005,
44.47503995895386,305.3075765178123,4.18375,
44.47522783279419,314.63294257172834,4.1835,
44.475425004959106,305.6756830725722,4.1825,
44.47563171386719,298.80436071705515,4.1850000000000005,
44.47583079338074,301.13570223053415,4.1845,
44.47604775428772,307.2708114765315,4.18225,
44.47623872756958,302.6081284495735,4.1835,
44.47645902633667,298.4362541622953,4.18225,
44.47663998603821,301.2584044154541,4.184,
44.47684097290039,299.172467271815,4.1845,
44.47703981399536,291.81033617661814,4.1835,
44.477256774902344,296.9638279432559,4.18375,
44.477454662323,297.33193449801576,4.184,
44.477632999420166,289.1108881083793,4.18625,
44.47784185409546,298.0681476075355,4.1845,
44.4780387878418,308.8659398804908,4.18525,
44.47824573516846,302.3627240797336,4.18725,
44.47846579551697,290.46061214249875,4.1842500000000005,
44.4786376953125,298.31355197737537,4.1825,
44.47884488105774,302.6081284495735,4.183,
44.47903370857239,314.8783469415682,4.18075,
44.4792377948761,333.89718560416003,4.184,
44.47968792915344,310.9518770241299,4.184,
44.479917764663696,345.18578661679516,4.18225,
44.479917764663696,304.57136340829265,4.18375,
44.48005771636963,307.6389180312913,4.1855,
44.48025178909302,296.841125758336,4.181,
44.48047065734863,327.63937417324274,4.18225,
44.480650901794434,331.07503535100125,4.1815,
44.48085403442383,318.06860374948684,4.18225,
44.481048822402954,323.34479770104457,4.18275,
44.48122477531433,314.38753820188845,4.1845,
44.481459856033325,297.2092323130958,4.18375,
44.48164081573486,290.70601651233864,4.1842500000000005,
44.48184394836426,298.6816585321352,4.18375,
44.482043743133545,316.96428408520734,4.1835,
44.48224878311157,304.32595903845277,4.1825,
44.48246669769287,298.6816585321352,4.1825,
44.48264980316162,305.5529808876522,4.1855,
44.48285698890686,293.5281667654974,4.1850000000000005,
44.4830527305603,290.3379099575788,4.1842500000000005,
44.483240842819214,303.22163937417326,4.1842500000000005,
44.48345494270325,298.31355197737537,4.18275,
44.48364186286926,297.33193449801576,4.18225,
44.48386573791504,305.79838525749216,4.1842500000000005,
44.48404669761658,318.68211467408656,4.1825,
44.484264850616455,305.5529808876522,4.1855,
44.484463691711426,303.95785248369293,4.18175,
44.484665870666504,301.503808785294,4.18525,
44.48485994338989,297.8227432376956,4.184,
44.48505687713623,291.1968252520184,4.184,
44.48525285720825,297.8227432376956,4.18325,
44.48544096946716,300.27678693609454,4.1875,
44.48564386367798,298.6816585321352,4.18275,
44.48584604263306,296.841125758336,4.1825,
44.48604393005371,309.97025954477033,4.182,
44.486249923706055,302.1173197098937,4.18125,
44.48646569252014,291.4422296218583,4.17975,
44.48664879798889,300.15408475117454,4.18175,
44.48686385154724,300.15408475117454,4.18525,
44.48705267906189,292.6692514710578,4.1825,
44.48723888397217,290.70601651233864,4.183,
44.48746180534363,290.3379099575788,4.18325,
44.48763966560364,297.5773388678557,4.1825,
44.48784780502319,298.4362541622953,4.187,
44.4880428314209,279.0493089449437,4.18475,
44.48824596405029,260.3985768371117,4.1835,
44.488462686538696,264.6931533093099,4.1825,
44.48867082595825,297.94544542261553,4.18375,
44.48900365829468,328.6209916526023,4.18025,
44.48929572105408,334.75610089859964,4.1835,
44.489457845687866,342.4863385485563,4.183,
44.48961281776428,323.4674998859645,4.18175,
44.48979091644287,311.3199835788898,4.18375,
44.48991179466248,300.7675956757743,4.18375,
44.490081787109375,307.14810929161155,4.1835,
44.4902458190918,293.65086895041736,4.182,
44.49050974845886,296.5957213884961,4.181,
44.49064779281616,296.3503170186562,4.1857500000000005,
44.49086284637451,302.73083063449343,4.18175,
44.4910569190979,301.38110660037404,4.18325,
44.49125385284424,323.59020207088446,4.1805,
44.491493701934814,333.16097249464036,4.18225,
44.49165987968445,307.14810929161155,4.183,
44.49185276031494,300.5221913059344,4.18175,
44.4920608997345,315.9826666058477,4.1835,
44.492384910583496,310.33836609953016,4.18675,
44.492477893829346,301.38110660037404,4.18225,
44.492655754089355,305.3075765178123,4.18325,
44.49286675453186,317.82319937964695,4.1845,
44.49304676055908,302.9762350043334,4.1845,
44.49325084686279,290.46061214249875,4.1842500000000005,
44.4934778213501,296.5957213884961,4.1850000000000005,
44.493650913238525,299.66327601149476,4.1835,
44.49385380744934,299.5405738265748,4.1865,
44.494064807891846,300.6448934908544,4.182,
44.494258880615234,300.15408475117454,4.18525,
44.49449181556702,300.15408475117454,4.18325,
44.49467372894287,291.1968252520184,4.18475,
44.4948627948761,297.8227432376956,4.183,
44.49504470825195,297.94544542261553,4.1857500000000005,
44.49524688720703,307.39351366145144,4.1845,
44.49547076225281,296.3503170186562,4.183,
44.49564981460571,300.7675956757743,4.1845,
44.495851039886475,304.57136340829265,4.18225,
44.49607276916504,305.9210874424121,4.18075,
44.49625587463379,302.73083063449343,4.1857500000000005,
44.49647784233093,295.8595082789764,4.1835,
44.49665570259094,298.80436071705515,4.18375,
44.49686574935913,293.5281667654974,4.1835,
44.49704670906067,319.7864343383661,4.18175,
44.49726176261902,331.93395064544086,4.1815,
44.497469902038574,317.0869862701273,4.1777500000000005,
44.49766683578491,325.7988413994435,4.184,
44.49785089492798,326.41235232404324,4.182,
44.49805474281311,294.7551886146969,4.18475,
44.49825382232666,295.2459973543767,4.18325,
44.49847483634949,296.5957213884961,4.186,
44.49865984916687,293.5281667654974,4.1835,
44.498862743377686,297.2092323130958,4.18325,
44.49906873703003,316.96428408520734,4.18025,
44.49924993515015,312.4243032431693,4.18525,
44.4994637966156,296.9638279432559,4.18625,
44.49965476989746,302.73083063449343,4.1857500000000005,
44.499849796295166,298.31355197737537,4.1842500000000005,
44.50005769729614,297.33193449801576,4.1850000000000005,
44.50025486946106,299.66327601149476,4.18525,
44.50048089027405,294.14167769009714,4.183,
44.50067377090454,317.82319937964695,4.16925,
44.500864028930664,592.9214979701684,4.16625,
44.50106978416443,650.4688226976235,4.17325,
44.50124382972717,412.5492861378461,4.18375,
44.50146579742432,309.72485517493044,4.187,
44.50165772438049,308.9886420654108,4.1845,
44.501863956451416,305.5529808876522,4.181,
44.502049684524536,294.0189755051772,4.1835,
