,Time(ms),Main(mA),Main Voltage(V),,cpu_loop,crossing,count,indexes
13096,559.3947160243988,2088.3861506942517,4.158,,True,22,1,13096
13097,559.3948628902435,1884.9559806757409,4.136,,False,23,0,13097
13098,559.3950397968292,1894.648974301472,4.152,,False,23,0,13098
13099,559.3952529430389,1650.2382995868318,4.21475,,False,23,0,13099
13100,559.3954520225525,731.980523701105,4.21675,,False,23,0,13100
13101,559.3956530094147,676.0310921399223,4.214,,False,23,0,13101
13102,559.3958489894867,679.9573680389526,4.2010000000000005,,False,23,0,13102
13103,559.3960359096527,831.6097746390005,4.21125,,False,23,0,13103
13104,559.3962399959564,674.3133464340965,4.213,,False,23,0,13104
13105,559.3964507579803,651.8599561365165,4.21575,,False,23,0,13105
13106,559.3967099189758,650.3876026743802,4.213,,False,23,0,13106
13107,559.3968789577484,677.2580533583692,4.21325,,False,23,0,13107
13108,559.3970589637756,652.9642212331188,4.21,,False,23,0,13108
13109,559.3972399234772,682.5339865976913,4.21275,,False,23,0,13109
13110,559.397451877594,745.1090087384878,4.21175,,False,23,0,13110
13111,559.3977298736572,696.521344487987,4.21075,,False,23,0,13111
13112,559.3978850841522,740.6919483520786,4.192,,False,23,0,13112
13113,559.3980717658997,919.2148056361156,4.21175,,False,23,0,13113
13114,559.3982508182526,694.1901181729377,4.2085,,False,23,0,13114
13115,559.3984599113464,702.5334544583773,4.21025,,False,23,0,13115
13116,559.3986587524414,684.7425167908958,4.21075,,False,23,0,13116
13117,559.3988780975342,671.3686395098237,4.2065,,False,23,0,13117
13118,559.3990550041199,689.159577177305,4.20525,,False,23,0,13118
13119,559.399258852005,897.2521998259144,4.19425,,False,23,0,13119
13120,559.3994677066803,929.3985837492256,4.207,,False,23,0,13120
13121,559.3997249603271,730.5081702389685,4.2090000000000005,,False,23,0,13121
13122,559.3998558521271,683.6382516942936,4.2090000000000005,,False,23,0,13122
13123,559.4000389575958,693.5766375637141,4.20725,,False,23,0,13123
13124,559.4002530574799,727.9315516802299,4.2075000000000005,,False,23,0,13124
13125,559.400456905365,702.4107583365325,4.2055,,False,23,0,13125
13126,559.400722026825,712.7172325714872,4.207,,False,23,0,13126
13127,559.4010109901428,718.9747347855669,4.20975,,False,23,0,13127
13128,559.4011788368225,712.8399286933319,4.2075000000000005,,False,23,0,13128
13129,559.4012949466705,719.2201270292562,4.2075000000000005,,False,23,0,13129
13130,559.4014627933502,706.3370342355629,4.2075000000000005,,False,23,0,13130
13131,559.4016349315643,723.023706806442,4.20475,,False,23,0,13131
13132,559.4018650054932,737.0110646967377,4.18625,,False,23,0,13132
13133,559.4020481109619,941.79089205554,4.20375,,False,23,0,13133
13134,559.4022700786591,753.0842566583932,4.19375,,False,23,0,13134
13135,559.4024648666382,897.6202881914485,4.19625,,False,23,0,13135
13136,559.402715921402,917.3743638084452,4.2010000000000005,,False,23,0,13136
13137,559.4028928279877,877.3754280870733,4.19675,,False,23,0,13137
13138,559.4030637741089,828.0515871055043,4.195,,False,23,0,13138
13139,559.4032428264618,1046.4506839890682,4.16725,,False,23,0,13139
13140,559.4034519195557,1443.004549791135,4.17875,,False,23,0,13140
13141,559.4037158489227,1048.904606425962,4.19575,,False,23,0,13141
13142,559.403881072998,782.7767181448103,4.20425,,False,23,0,13142
13143,559.4040579795837,759.2190627506282,4.1885,,False,23,0,13143
13144,559.4042398929596,1148.6565534857025,4.184,,False,23,0,13144
13145,559.4044649600983,934.919909232237,4.203,,False,23,0,13145
13146,559.4047241210938,970.7471768108892,4.18175,,False,23,0,13146
13147,559.4048819541931,1190.9867155221236,4.18225,,False,23,0,13147
13148,559.4050579071045,1164.1162648381346,4.18175,,False,23,0,13148
13149,559.4052398204803,1144.8529737085169,4.188,,False,23,0,13149
13150,559.4054489135742,1097.0014861890843,4.1885,,False,23,0,13150
13151,559.4057228565216,1073.6892230385913,4.19025,,False,23,0,13151
13152,559.4058759212494,1082.032559324031,4.188,,False,23,0,13152
13153,559.4060649871826,1125.8350748225885,4.18075,,False,23,0,13153
13154,559.406243801117,1165.5886183002708,4.1835,,False,23,0,13154
13155,559.4064531326294,1196.139952639601,4.20275,,False,23,0,13155
13156,559.4067249298096,930.2574566021384,4.16375,,False,23,0,13156
13157,559.4068789482117,1282.8861107838031,4.188,,False,23,0,13157
13158,559.4070589542389,1105.8356069619026,4.18725,,False,23,0,13158
13159,559.4072608947754,907.190585695335,4.2135,,False,23,0,13159
13160,559.4074468612671,687.564527593324,4.189,,False,23,0,13160
13161,559.4077179431915,916.2700987118428,4.21125,,False,23,0,13161
13162,559.407881975174,706.705122601097,4.2002500000000005,,False,23,0,13162
13163,559.4080619812012,915.1658336152404,4.1777500000000005,,False,23,0,13163
13164,559.408262014389,1322.6396542614857,4.15925,,False,23,0,13164
13165,559.4084417819977,1357.9761373527588,4.18975,,False,23,0,13165
13166,559.4086480140686,1069.2721626521825,4.1945,,False,23,0,13166
13167,559.4088778495789,968.784038861374,4.195,,False,23,0,13167
13168,559.4090487957001,920.9325513419412,4.2045,,False,23,0,13168
13169,559.4092538356781,774.8014702249048,4.187,,False,23,0,13169
13170,559.4094657897949,1020.6844984016816,4.1905,,False,23,0,13170
13171,559.4097139835358,990.3785563060408,4.188,,False,23,0,13171
13172,559.4098718166351,973.5691876133172,4.19125,,False,23,0,13172
13173,559.410050868988,966.8209009118588,4.19,,False,23,0,13173
13174,559.4102528095245,944.735598979813,4.19325,,False,23,0,13174
13175,559.4104678630829,987.6792416254576,4.19725,,False,23,0,13175
