,Time(ms),Main(mA),Main Voltage(V),
24267,839.0979559421539,276.54335594148245,4.1845,
24268,839.0981607437134,261.69390796557076,4.18875,
24269,839.0983738899231,261.4484625444813,4.1835,
24270,839.0985658168793,262.18479880774964,4.18475,
24271,839.0987639427185,259.2394537546763,4.18625,
24272,839.0989518165588,273.3525654673196,4.1835,
24273,839.0991520881653,266.2346482557256,4.186,
24274,839.0994138717651,265.25286657136775,4.1855,
24275,839.0995609760284,260.5894035706682,4.188,
24276,839.099769115448,261.69390796557076,4.18275,
24277,839.0999689102173,277.27969220475075,4.188,
24278,839.1001658439636,257.64405851759483,4.1835,
24279,839.100380897522,263.78019404483103,4.1865,
24280,839.1005868911743,255.80321785942397,4.18525,
24281,839.100781917572,256.9077222543265,4.1835,
24282,839.1009829044342,265.86648012409137,4.1865,
24283,839.1011488437653,258.25767207031845,4.1845,
24284,839.1013770103455,263.04385778156274,4.188,
24285,839.1018209457397,257.8895039386843,4.189,
24286,839.1020438671112,262.67568964992853,4.1842500000000005,
24287,839.1020438671112,268.32093433498585,4.1885,
24288,839.1021790504456,258.87128562304207,4.18475,
24289,839.1023788452148,264.3938075975547,4.1835,
24290,839.1025698184967,256.5395541226923,4.18775,
24291,839.102777004242,262.4302442288391,4.18325,
24292,839.1029779911041,263.78019404483103,4.1850000000000005,
24293,839.1031699180603,255.92594056996867,4.1885,
24294,839.1033411026001,268.8118251771648,4.1845,
24295,839.103551864624,257.15316767541594,4.1850000000000005,
24296,839.1037800312042,269.5481614404331,4.1850000000000005,
24297,839.1039509773254,287.4656771799629,4.18675,
24298,839.1041598320007,296.0562669180936,4.1855,
24299,839.1043729782104,299.8606709449801,4.18525,
24300,839.1045670509338,286.11572736397096,4.1835,
24301,839.1047699451447,290.4110222330363,4.18275,
24302,839.1049709320068,297.03804860245145,4.1845,
24303,839.1051478385925,291.0246357857599,4.1842500000000005,
24304,839.1053469181061,294.46087168101224,4.187,
24305,839.1055600643158,263.5347486237416,4.183,
24306,839.1057667732239,271.8798929407829,4.1845,
24307,839.1059670448303,263.4120259131969,4.183,
24308,839.1061570644379,257.8895039386843,4.184,
24309,839.1063940525055,262.5529669393838,4.183,
24310,839.1065669059753,257.0304449648712,4.186,
24311,839.1067719459534,262.67568964992853,4.1845,
24312,839.1069748401642,268.5663797560753,4.186,
24313,839.1071429252625,271.8798929407829,4.187,
24314,839.1073729991913,265.3755892819125,4.1855,
24315,839.1075649261475,259.9757900179446,4.1857500000000005,
24316,839.1077690124512,276.297910520393,4.184,
24317,839.1079678535461,268.5663797560753,4.1845,
24318,839.108158826828,269.5481614404331,4.18475,
24319,839.1083860397339,274.82523799385626,4.18325,
24320,839.1085870265961,270.28449770370145,4.18475,
24321,839.1087830066681,276.17518780984824,4.1855,
24322,839.1089539527893,276.297910520393,4.1845,
24323,839.1091587543488,270.5299431247909,4.1835,
24324,839.1093728542328,279.24325557346634,4.183,
24325,839.1095669269562,363.67648042823686,4.17975,
24326,839.1097688674927,350.2997049788619,4.1857500000000005,
24327,839.1099638938904,305.99680647221635,4.18,
24328,839.1101670265198,305.5059156300374,4.1835,
24329,839.11039686203,287.4656771799629,4.18725,
24330,839.11057305336,274.82523799385626,4.18625,
24331,839.1107788085938,277.15696949420607,4.1857500000000005,
24332,839.1109628677368,258.87128562304207,4.1850000000000005,
24333,839.1111590862274,256.5395541226923,4.186,
24334,839.1113710403442,257.2758903859607,4.18325,
24335,839.1115670204163,261.571185255026,4.18775,
24336,839.1117701530457,269.6708841509778,4.1825,
24337,839.1119658946991,249.29891420055355,4.1842500000000005,
24338,839.112165927887,237.14936585662585,4.1865,
24339,839.1123881340027,244.63545119985403,4.1845,
24340,839.1125900745392,277.4024149152955,4.184,
24341,839.1127829551697,292.8654764439308,4.1865,
24342,839.1129529476166,284.765777547979,4.1855,
24343,839.1131598949432,290.6564676541257,4.18225,
24344,839.1133711338043,278.8750874418322,4.1855,
24345,839.1135668754578,265.62103470300195,4.186,
24346,839.1137669086456,272.86167462514067,4.18475,
24347,839.1139698028564,259.6076218863104,4.18725,
24348,839.1141648292542,263.5347486237416,4.18625,
24349,839.1144618988037,259.8530673073999,4.1845,
24350,839.1145961284637,262.79841236047326,4.1855,
24351,839.1147871017456,260.22123543903405,4.1835,
24352,839.1149818897247,268.07548891389644,4.1845,
24353,839.1151630878448,305.38319291949267,4.183,
24354,839.1153841018677,281.82043249490556,4.1825,
24355,839.1155669689178,274.7025152833115,4.1845,
24356,839.1157691478729,277.89330575747437,4.1850000000000005,
24357,839.1159689426422,270.03905228261203,4.182,
24358,839.1161658763885,260.5894035706682,4.186,
24359,839.1163890361786,257.5213358070501,4.18475,
24360,839.116592168808,265.130143860823,4.1842500000000005,
24361,839.1167678833008,256.29410870160285,4.183,
24362,839.1169908046722,263.1665804921074,4.1855,
24363,839.1171729564667,261.4484625444813,4.1835,
24364,839.1173939704895,262.67568964992853,4.18525,
24365,839.117574930191,265.74375741354663,4.1855,
24366,839.1177809238434,270.4072204142462,4.1850000000000005,
24367,839.1179819107056,266.35737096627025,4.1835,
24368,839.1181769371033,259.8530673073999,4.1885,
24369,839.1183941364288,259.36217646522095,4.18375,
24370,839.1185767650604,263.65747133428636,4.18325,
24371,839.1187660694122,263.04385778156274,4.186,
24372,839.1189799308777,267.4618753611728,4.18525,
24373,839.1191620826721,259.4848991757657,4.18875,
24374,839.1193749904633,260.5894035706682,4.184,
24375,839.1195697784424,262.921135071018,4.18175,
24376,839.1197490692139,279.61142370510055,4.1885,
24377,839.1199638843536,270.4072204142462,4.188,
24378,839.1201641559601,259.36217646522095,4.1845,
24379,839.1203858852386,259.9757900179446,4.18475,
24380,839.1205670833588,262.18479880774964,4.18675,
24381,839.1207790374756,267.9527662033517,4.1825,
24382,839.1209819316864,297.03804860245145,4.182,
24383,839.1211619377136,292.0064174701177,4.18175,
24384,839.1214039325714,289.67468596976795,4.181,
24385,839.1215720176697,289.06107241704433,4.184,
24386,839.121768951416,290.0428541014021,4.1835,
24387,839.1219749450684,306.48769731439523,4.1845,
24388,839.1221668720245,261.08029441284714,4.1850000000000005,
24389,839.1223969459534,265.00742115027833,4.1875,
24390,839.1225810050964,257.8895039386843,4.184,
24391,839.1227879524231,258.3803947808632,4.18675,
24392,839.1229600906372,261.8166306761155,4.1850000000000005,
24393,839.1231639385223,257.2758903859607,4.1842500000000005,
24394,839.1233868598938,263.28930320265215,4.1855,
24395,839.1235818862915,260.71212628121293,4.1865,
24396,839.123780965805,284.88850025852366,4.1855,
24397,839.1239738464355,269.79360686152256,4.1842500000000005,
24398,839.1241760253906,285.8702819428815,4.18475,
24399,839.1243960857391,266.9709845189939,4.18325,
24400,839.1245827674866,258.9940083335868,4.18675,
24401,839.1247839927673,259.6076218863104,4.184,
24402,839.1249997615814,263.5347486237416,4.18325,
24403,839.125167131424,287.3429544694182,4.18225,
24404,839.1253879070282,299.73794823443535,4.182,
24405,839.1255757808685,272.73895191459593,4.1850000000000005,
24406,839.1257870197296,278.6296420207427,4.182,
