Time(ms),Main(mA),Main Voltage(V),
0.0910792350769043,561.5022925838904,4.16375,
0.09128022193908691,689.6296735634282,4.1645,
0.09146523475646973,534.3795423956932,4.18075,
0.09166908264160156,332.37028081301185,4.1857500000000005,
0.09189033508300781,321.44754431188267,4.18475,
0.09206724166870117,308.07026028240983,4.18325,
0.09229111671447754,297.7611606633666,4.1842500000000005,
0.09247827529907227,299.6020713096243,4.18275,
0.0926980972290039,297.14752378128065,4.1850000000000005,
0.09288406372070312,304.87934849556314,4.186,
0.09307217597961426,318.01117777220156,4.1845,
0.0932931900024414,330.40664279033695,4.182,
0.09346818923950195,324.7611834751466,4.18375,
0.09366297721862793,339.3657412687912,4.1850000000000005,
0.09386324882507324,314.4520838561033,4.18325,
0.09408211708068848,334.0884640828524,4.18525,
0.09429812431335449,341.0839245386318,4.1835,
0.09448027610778809,327.2157310034902,4.1855,
0.09467124938964844,316.90663138444694,4.18675,
0.0948801040649414,332.37028081301185,4.18125,
0.09508824348449707,321.692999064717,4.1850000000000005,
0.09526705741882324,333.7202819536009,4.183,
0.09546327590942383,327.2157310034902,4.18625,
0.09567904472351074,308.07026028240983,4.1835,
0.09588122367858887,304.3884389898944,4.186,
0.09606719017028809,301.44298195588203,4.1865,
0.09628915786743164,296.2884321463604,4.1850000000000005,
0.09647417068481445,301.07479982663045,4.188,
0.09667301177978516,297.5157059105322,4.182,
0.09687399864196777,303.40661997855693,4.1855,
0.09708619117736816,304.7566211191459,4.1850000000000005,
0.09726810455322266,301.44298195588203,4.18525,
0.09746932983398438,300.092980815293,4.1855,
0.0976870059967041,296.5338868991947,4.18525,
0.0978841781616211,292.11570134817623,4.18725,
0.09810304641723633,298.37479754545245,4.183,
0.09826302528381348,315.43390286744074,4.18975,
0.09847021102905273,270.6384104751694,4.18475,
0.09929823875427246,268.3065903232429,4.18675,
0.09954619407653809,287.942970549992,4.18525,
0.09954619407653809,311.38389944567376,4.182,
0.09954619407653809,330.5293701667541,4.18375,
0.09974026679992676,322.18390857038577,4.184,
0.09974026679992676,321.57027168829984,4.1825,
0.09988713264465332,317.39754089011564,4.18625,
0.10009217262268066,302.67025572005383,4.18725,
0.10028624534606934,290.27479070191845,4.18625,
0.10048937797546387,294.07933937085113,4.1825,
0.10067105293273926,295.3066131350229,4.187,
0.10087323188781738,300.4611629445446,4.1815,
0.10108208656311035,296.1657047699432,4.182,
0.10128617286682129,295.0611583821886,4.18375,
0.10147619247436523,297.0247964048635,4.1835,
0.10167217254638672,299.35661655678996,4.188,
0.10187697410583496,299.6020713096243,4.1857500000000005,
0.10207629203796387,292.7293382302621,4.1855,
0.10228419303894043,280.45660058854395,4.1865,
0.10248112678527832,276.28386979035974,4.1865,
0.10265326499938965,277.6338709309487,4.186,
0.10286211967468262,284.6293313867281,4.1855,
