Time(ms),Main(mA),Main Voltage(V),
114.25680804252625,255.31870638142593,4.18325,
114.25702571868896,257.6500478949049,4.186,
114.2571930885315,255.8095151211057,4.18375,
114.2574019432068,265.25758335994163,4.17875,
114.2575979232788,280.9634630296949,4.18275,
114.25782680511476,266.2392008393012,4.1805,
114.25800490379332,262.8035396615427,4.1815,
114.258202791214,263.53975277106235,4.1857500000000005,
114.25842308998108,261.9446243671031,4.1835,
114.25860786437988,268.44784016786025,4.18225,
114.25879979133606,268.20243579802036,4.183,
114.25900483131409,269.1840532773799,4.18275,
114.25920104980467,278.386717146376,4.183,
114.25941681861876,279.0002280709757,4.1835,
114.259596824646,310.5346895954021,4.17875,
114.259831905365,299.00068421292707,4.1845,
114.26003003120422,291.6385531177302,4.1842500000000005,
114.2602198123932,289.79802034393106,4.181,
114.26044297218324,281.8223783241345,4.1835,
114.2606279850006,281.8223783241345,4.1855,
114.26081395149232,281.0861652146148,4.1825,
114.26101398468018,283.6629110979337,4.183,
114.2611939907074,283.78561328285366,4.184,
114.26144003868104,287.71208320029194,4.1815,
114.26161098480225,304.2768781644848,4.18025,
114.26181983947754,283.5402089130137,4.1842500000000005,
114.26202178001404,282.6812936185741,4.18,
114.26222395896912,281.8223783241345,4.1850000000000005,
114.26243591308594,287.95748757013183,4.18175,
114.26261186599731,283.1721023582539,4.1835,
114.26279497146606,284.27642202253344,4.18275,
114.26300811767578,301.57743009624596,4.17975,
114.26319479942322,308.326050266843,4.1785,
114.26341676712036,346.97723851662636,4.1770000000000005,
114.2637529373169,350.78100624914475,4.18175,
114.26387095451356,337.52917027779046,4.1805,
114.26403403282166,331.1486566619532,4.1825,
114.26420783996582,321.8232906080372,4.1815,
114.26442980766296,306.117410938284,4.1835,
114.26461291313171,301.2093235414861,4.1855,
114.26481986045836,303.6633672398851,4.1815,
114.26501679420473,303.90877160972497,4.182,
114.26519513130188,306.3628153081239,4.18225,
114.2654218673706,321.2097796834375,4.1785,
114.2656090259552,339.00159649682985,4.18325,
114.26581311225893,334.58431783971173,4.182,
114.2660129070282,300.3504082470465,4.1855,
114.26629400253296,265.7483920996214,4.183,
114.26641392707825,266.11649865438125,4.1865,
114.2666540145874,256.5457282306254,4.18375,
114.2668240070343,252.98736486794692,4.184,
114.2670238018036,253.7235779774666,4.18325,
114.2672929763794,252.12844957350728,4.1835,
114.26742887496948,264.275965880582,4.186,
114.2676169872284,252.74196049810703,4.186,
114.26781487464903,253.60087579254665,4.18525,
114.26801681518556,251.6376408338275,4.18325,
114.26828384399414,250.410618984628,4.18475,
114.26837992668152,254.70519545682615,4.18375,
114.26862382888794,250.410618984628,4.184,
114.26879906654358,252.98736486794692,4.18325,
114.26903510093688,249.91981024494825,4.18525,
114.2692039012909,251.8830452036674,4.184,
114.26942086219788,268.93864890754,4.18375,
114.26960802078248,259.24517629886424,4.1850000000000005,
114.2698118686676,267.7116270583406,4.184,
114.27000975608826,252.37385394334717,4.1842500000000005,
114.2702898979187,250.410618984628,4.18475,
114.27040696144104,250.1652146147881,4.1857500000000005,
114.2706151008606,251.26953427906764,4.186,
114.27082180976868,256.66843041554534,4.18175,
114.2710268497467,243.6619988140309,4.184,
114.27122378349304,233.9685262053551,4.18625,
114.27144503593443,255.68681293618576,4.18325,
114.27162098884584,314.0930529580806,4.17875,
114.2718107700348,353.7258586872235,4.18375,
114.27201795578004,283.04940017333394,4.18375,
114.27221298217772,282.6812936185741,4.1825,
114.27243089675903,280.47265429001504,4.18025,
114.27261090278624,274.9510559686174,4.18275,
114.27283787727356,254.09168453222645,4.18375,
114.27303290367126,250.53332116954795,4.1825,
114.27329277992249,252.37385394334717,4.1855,
114.2734169960022,272.7424166400584,4.18325,
114.2736120223999,254.3370889020663,4.1857500000000005,
114.27381896972656,252.98736486794692,4.184,
114.2740228176117,257.28194134014507,4.1825,
114.27428674697876,275.1964603384573,4.184,
114.2744278907776,256.66843041554534,4.18525,
114.27461409568788,253.9689823473065,4.1857500000000005,
114.27483987808228,251.3922364639876,4.1842500000000005,
114.27502584457396,255.19600419650595,4.18525,
114.2752959728241,253.7235779774666,4.1857500000000005,
114.27544403076172,275.31916252337726,4.1835,
114.27563381195068,279.12293025589565,4.18625,
114.27581810951231,262.5581352917028,4.187,
114.27602195739746,255.56411075126584,4.1835,
114.27629280090332,251.76034301874745,4.18475,
114.27680802345276,253.35547142270676,4.18225,
114.27703189849854,264.52137025042197,4.18375,
114.27703189849854,256.17762167586557,4.1857500000000005,
114.27719688415527,252.74196049810703,4.1842500000000005,
114.2773859500885,253.2327692377868,4.1850000000000005,
114.2775650024414,270.0429685718196,4.18525,
114.2776870727539,255.44140856634587,4.1842500000000005,
114.27784204483032,254.70519545682615,4.18675,
114.27802300453186,252.37385394334717,4.18375,
114.27829003334044,251.8830452036674,4.182,
114.27841997146606,250.90142772430775,4.1850000000000005,
114.27861309051514,254.9505998266661,4.18475,
114.27885603904724,254.4597910869863,4.18525,
114.27902793884276,252.98736486794692,4.183,
114.279287815094,260.5949003329836,4.1835,
114.27940678596497,260.7176025179036,4.18275,
114.27961087226868,256.42302604570546,4.1835,
114.27982592582704,253.8462801623865,4.1835,
114.280024766922,275.1964603384573,4.18175,
114.2802848815918,288.9391050494914,4.1835,
114.2804079055786,280.1045477352552,4.181,
114.28061389923096,282.31318706381427,4.18375,
114.28082489967346,281.94508050905443,4.187,
114.28102684020996,267.8343292432605,4.184,
114.28129887580872,258.2635588195046,4.1835,
114.28143286705016,269.6748620170597,4.18475,
114.28161787986755,256.0549194909456,4.183,
114.28182196617126,253.2327692377868,4.1855,
114.28202486038208,253.8462801623865,4.18225,
114.2822847366333,252.86466268302695,4.182,
114.28244400024414,255.19600419650595,4.18625,
114.28263688087463,253.60087579254665,4.183,
114.28282403945924,254.9505998266661,4.18475,
114.283020734787,251.3922364639876,4.1855,
114.28330707550047,259.61328285362407,4.184,
